InvoiceNo,InvoiceDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount
INV0000001,10/29/2024,C1702,P023,5,671.66,3358.3
INV0000002,1/16/2025,C0338,P040,3,621.13,1863.39
INV0000003,5/15/2025,C0462,P077,5,825.61,4128.05
INV0000004,5/1/2025,C1750,P011,1,49.79,49.79
INV0000005,7/16/2025,C0427,P010,2,465.52,931.04
INV0000006,11/20/2024,C1992,P017,2,22.3,44.6
INV0000007,5/15/2024,C1469,P012,1,81.26,81.26
INV0000008,3/4/2025,C1920,P055,4,918.47,3673.88
INV0000009,4/6/2024,C0439,P046,5,255.6,1278
INV0000010,4/5/2025,C1146,P074,5,1335.23,6676.15
INV0000011,1/22/2024,C0356,P049,1,1790.33,1790.33
INV0000012,8/12/2024,C1587,P032,5,2107.87,10539.35
INV0000013,12/6/2024,C0039,P055,5,918.47,4592.35
INV0000014,8/7/2024,C1013,P062,2,24.32,48.64
INV0000015,5/7/2025,C0594,P070,3,45.31,135.93
INV0000016,7/9/2025,C0584,P043,3,832.69,2498.07
INV0000017,4/9/2025,C1745,P015,1,79.62,79.62
INV0000018,10/4/2024,C1584,P023,4,671.66,2686.64
INV0000019,10/2/2023,C1219,P045,5,727.33,3636.65
INV0000020,6/15/2024,C0659,P010,1,465.52,465.52
INV0000021,3/11/2025,C0064,P057,5,1318.78,6593.9
INV0000022,8/17/2025,C1035,P035,3,159.09,477.27
INV0000023,6/1/2024,C0017,P015,4,79.62,318.48
INV0000024,1/20/2024,C1415,P030,1,8.15,8.15
INV0000025,9/5/2024,C0018,P046,2,255.6,511.2
INV0000026,4/18/2024,C0928,P043,2,832.69,1665.38
INV0000027,1/11/2024,C1825,P024,1,37.59,37.59
INV0000028,1/26/2024,C1510,P080,4,1674.29,6697.16
INV0000029,4/23/2024,C0422,P051,4,45.11,180.44
INV0000030,6/9/2025,C1256,P014,1,388.53,388.53
INV0000031,2/21/2024,C0652,P002,3,2202.24,6606.72
INV0000032,2/8/2024,C1515,P008,3,403.58,1210.74
INV0000033,9/5/2024,C0168,P007,3,1171.1,3513.3
INV0000034,7/12/2024,C0529,P015,2,79.62,159.24
INV0000035,8/5/2024,C1913,P024,1,37.59,37.59
INV0000036,7/21/2024,C0635,P003,2,64.03,128.06
INV0000037,2/20/2025,C1911,P067,3,1157.93,3473.79
INV0000038,7/16/2024,C0576,P042,5,25.06,125.3
INV0000039,2/5/2025,C1303,P046,1,255.6,255.6
INV0000040,9/27/2023,C1851,P079,1,453.25,453.25
INV0000041,8/12/2024,C0640,P028,5,106.3,531.5
INV0000042,5/7/2025,C1431,P043,3,832.69,2498.07
INV0000043,11/13/2024,C0698,P069,5,466.09,2330.45
INV0000044,8/21/2023,C1334,P057,1,1318.78,1318.78
INV0000045,2/5/2025,C1185,P001,3,766.52,2299.56
INV0000046,2/11/2025,C0416,P007,3,1171.1,3513.3
INV0000047,6/28/2024,C0660,P080,4,1674.29,6697.16
INV0000048,6/3/2025,C1178,P052,1,54.83,54.83
INV0000049,8/22/2023,C0369,P064,3,1264.97,3794.91
INV0000050,4/22/2024,C1240,P008,5,403.58,2017.9
INV0000051,4/19/2025,C1990,P072,3,1085.66,3256.98
INV0000052,3/31/2024,C1116,P019,3,42.98,128.94
INV0000053,7/20/2024,C1034,P029,4,905.27,3621.08
INV0000054,12/20/2023,C1511,P052,4,54.83,219.32
INV0000055,10/12/2024,C1538,P047,5,1479.53,7397.65
INV0000056,8/14/2024,C0074,P017,5,22.3,111.5
INV0000057,2/4/2025,C0240,P059,3,414.05,1242.15
INV0000058,4/14/2024,C0146,P030,4,8.15,32.6
INV0000059,5/22/2025,C1498,P002,4,2202.24,8808.96
INV0000060,6/17/2025,C0427,P049,2,1790.33,3580.66
INV0000061,2/7/2025,C0678,P037,5,1471.13,7355.65
INV0000062,2/3/2025,C0399,P005,5,9.36,46.8
INV0000063,4/6/2025,C0526,P040,2,621.13,1242.26
INV0000064,11/30/2023,C0095,P037,5,1471.13,7355.65
INV0000065,9/4/2024,C0484,P065,2,127.04,254.08
INV0000066,4/1/2025,C0349,P039,5,38.83,194.15
INV0000067,8/8/2024,C1486,P060,5,48.02,240.1
INV0000068,10/20/2023,C1590,P027,1,1457.71,1457.71
INV0000069,4/15/2024,C0230,P038,5,2331.73,11658.65
INV0000070,9/27/2024,C1778,P070,2,45.31,90.62
INV0000071,7/17/2024,C0848,P015,4,79.62,318.48
INV0000072,11/8/2023,C0972,P054,4,187.68,750.72
INV0000073,12/14/2024,C1630,P039,3,38.83,116.49
INV0000074,6/24/2024,C0282,P003,1,64.03,64.03
INV0000075,2/2/2024,C1807,P080,4,1674.29,6697.16
INV0000076,5/9/2024,C1452,P005,3,9.36,28.08
INV0000077,3/3/2025,C0527,P078,2,663.96,1327.92
INV0000078,2/6/2025,C1198,P043,5,832.69,4163.45
INV0000079,7/16/2025,C1734,P003,4,64.03,256.12
INV0000080,10/6/2023,C1680,P031,3,956.84,2870.52
INV0000081,3/21/2025,C1002,P030,5,8.15,40.75
INV0000082,10/2/2024,C0428,P045,2,727.33,1454.66
INV0000083,4/15/2025,C1438,P033,4,15.22,60.88
INV0000084,4/22/2025,C0927,P077,2,825.61,1651.22
INV0000085,3/23/2024,C0340,P013,5,35.78,178.9
INV0000086,6/20/2024,C0166,P075,5,95.97,479.85
INV0000087,7/10/2025,C1005,P003,1,64.03,64.03
INV0000088,12/11/2023,C1776,P051,3,45.11,135.33
INV0000089,10/24/2023,C1366,P020,4,746.91,2987.64
INV0000090,7/20/2024,C1710,P038,1,2331.73,2331.73
INV0000091,12/6/2024,C1452,P033,5,15.22,76.1
INV0000092,10/18/2023,C0669,P031,4,956.84,3827.36
INV0000093,8/5/2024,C1975,P028,1,106.3,106.3
INV0000094,3/10/2025,C1530,P060,2,48.02,96.04
INV0000095,1/5/2024,C1566,P001,1,766.52,766.52
INV0000096,8/6/2024,C0066,P005,2,9.36,18.72
INV0000097,9/11/2023,C1568,P077,4,825.61,3302.44
INV0000098,6/4/2024,C1751,P014,2,388.53,777.06
INV0000099,9/28/2024,C1681,P050,4,717.44,2869.76
INV0000100,1/24/2025,C1680,P031,5,956.84,4784.2
INV0000101,7/2/2024,C0334,P065,3,127.04,381.12
INV0000102,12/27/2024,C1729,P037,2,1471.13,2942.26
INV0000103,11/25/2023,C1473,P027,3,1457.71,4373.13
INV0000104,1/15/2024,C1903,P004,3,522.46,1567.38
INV0000105,10/25/2023,C1389,P013,3,35.78,107.34
INV0000106,9/24/2023,C0615,P012,1,81.26,81.26
INV0000107,6/22/2025,C0498,P044,2,29.11,58.22
INV0000108,2/23/2025,C1055,P039,4,38.83,155.32
INV0000109,12/7/2024,C1837,P063,1,1819.9,1819.9
INV0000110,3/25/2025,C1401,P074,3,1335.23,4005.69
INV0000111,12/23/2024,C0345,P080,3,1674.29,5022.87
INV0000112,5/4/2025,C1970,P013,5,35.78,178.9
INV0000113,10/20/2024,C0688,P026,2,15.09,30.18
INV0000114,10/13/2024,C1638,P052,2,54.83,109.66
INV0000115,1/17/2024,C0567,P076,5,239.87,1199.35
INV0000116,10/17/2023,C0031,P044,2,29.11,58.22
INV0000117,8/31/2023,C0206,P018,5,301.85,1509.25
INV0000118,8/7/2024,C1917,P028,1,106.3,106.3
INV0000119,6/18/2024,C0439,P062,1,24.32,24.32
INV0000120,12/31/2023,C1305,P069,1,466.09,466.09
INV0000121,2/20/2025,C0953,P073,4,42.69,170.76
INV0000122,5/31/2024,C0018,P057,4,1318.78,5275.12
INV0000123,9/4/2024,C0158,P045,2,727.33,1454.66
INV0000124,7/15/2025,C1176,P040,5,621.13,3105.65
INV0000125,6/30/2025,C0149,P049,1,1790.33,1790.33
INV0000126,5/26/2025,C0465,P063,3,1819.9,5459.7
INV0000127,12/17/2023,C1471,P031,2,956.84,1913.68
INV0000128,11/4/2023,C0874,P023,2,671.66,1343.32
INV0000129,12/23/2024,C0487,P028,1,106.3,106.3
INV0000130,11/30/2023,C0999,P063,4,1819.9,7279.6
